Year,Category,Contribution,Organization_name,Organization_City,Born,Died,Name,Born_country,Born_City,Died_Country,Died_City,Organization_Country,Gender,Life_Expectancy
1998,Medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,University of Texas Medical School at Houston,Houston TX,1936,,Ferid Murad,USA,Whiting IN,,,USA,M,
1977,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Bell Telephone Laboratories,Murray Hill NJ,1923,2020,Philip W. Anderson,USA,Indianapolis IN,USA,Princeton NJ,USA,M,97
1979,Physics,for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current,International Centre for Theoretical Physics,Trieste,1926,1996,Abdus Salam,Pakistan,Jhang Maghiana,United Kingdom,Oxford,Italy,M,70
1981,Physics,for their contribution to the development of laser spectroscopy,Harvard University,Cambridge MA,1920,2017,Nicolaas Bloembergen,Netherlands,Dordrecht,USA,Tucson AZ,USA,M,97
1990,Physics,for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics,Stanford University,Stanford CA,1929,2018,Richard E. Taylor,Canada,Medicine Hat Alberta,USA,Stanford CA,USA,M,89
1945,Peace,for his indefatigable work for international understanding and his pivotal role in establishing the United Nations,,,1871,1955,Cordell Hull,USA,Olympus TN,USA,Bethesda MD,,M,84
1969,Peace,for creating international legislation insuring certain norms for working conditions in every country,,,,,International Labour Organization,,,,,,,
1974,Peace,for his efforts to secure and develop human rights throughout the world,,,1904,1988,Se†n MacBride,France,Paris,Ireland,Dublin,,M,84
1921,Literature,in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament,,,1844,1924,Anatole France,France,Paris,France,Saint-Cyr-sur-Loire,,M,80
1923,Literature,for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation,,,1865,1939,William Butler Yeats,Ireland,Dublin,France,Roquebrune-Cap-Martin,,M,74
1944,Literature,for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold freshly creative style,,,1873,1950,Johannes V. Jensen,Denmark,Farsõ,Denmark,Copenhagen,,M,77
1997,Literature,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden,,,1926,2016,Dario Fo,Italy,Leggiuno-Sangiano,Italy,Milan,,M,90
2000,Economics,for his development of theory and methods for analyzing selective samples,University of Chicago,Chicago IL,1944,,James J. Heckman,USA,Chicago IL,,,USA,M,
2001,Medicine,for their discoveries of key regulators of the cell cycle,Imperial Cancer Research Fund,London,1949,,Sir Paul Nurse,United Kingdom,Norwich,,,United Kingdom,M,
1980,Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,Harvard Medical School,Boston MA,1920,2011,Baruj Benacerraf,Venezuela,Caracas,USA,Boston MA,USA,M,91
1981,Medicine,for their discoveries concerning information processing in the visual system,Harvard Medical School,Boston MA,1926,2013,David H. Hubel,Canada,Windsor ON,USA,Lincoln MA,USA,M,87
2002,Medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',Massachusetts Institute of Technology (MIT),Cambridge MA,1947,,H. Robert Horvitz,USA,Chicago IL,,,USA,M,
2002,Literature,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history,,,1929,2016,Imre KertÇsz,Hungary,Budapest,Hungary,Budapest,,M,87
2003,Chemistry,for the discovery of water channels,Johns Hopkins University School of Medicine,Baltimore MD,1949,,Peter Agre,USA,Northfield MN,,,USA,M,
2003,Chemistry,for structural and mechanistic studies of ion channels,Rockefeller University,New York NY,1956,,Roderick MacKinnon,USA,Burlington MA,,,USA,M,
2003,Economics,for methods of analyzing economic time series with common trends (cointegration),University of California,San Diego CA,1934,2009,Clive W.J. Granger,United Kingdom,Swansea,USA,San Diego CA,USA,M,75
2006,Literature,who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures,,,1952,,Orhan Pamuk,Turkey,Istanbul,,,,M,
2022,Economics,for research on banks and financial crises,Washington University,St. Louis MO,1955,,Philip Dybvig,USA,Gainesville FL,,,USA,M,
2018,Physics,for the optical tweezers and their application to biological systems,Bell Laboratories,Holmdel NJ,1922,2020,Arthur Ashkin,USA,New York NY,USA,Rumson NJ,USA,M,98
2020,Medicine,for the discovery of Hepatitis C virus,Rockefeller University,New York NY,1952,,Charles Rice,USA,Sacramento CA,,,USA,M,
2022,Literature,for the courage and clinical acuity with which she uncovers the roots estrangements and  collective restraints of personal memory,,,1940,,Annie Ernaux,France,Lillebonne,,,,F,
2012,Peace,for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in Europe,,,,,European Union,,,,,,,
1956,Chemistry,for their researches into the mechanism of chemical reactions,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,1896,1986,Nikolay Semenov,Russia,Saratov,Russia,Moscow,Russia,M,90
1988,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre,Max-Planck-Institut fÅr Biophysik,Frankfurt-on-the-Main,1948,,Hartmut Michel,Germany,Ludwigsburg,,,Germany,M,
1999,Chemistry,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,California Institute of Technology (Caltech),Pasadena CA,1946,2016,Ahmed Zewail,Egypt,Damanhur,USA,Pasadena CA,USA,M,70
1947,Medicine,for their discovery of the course of the catalytic conversion of glycogen,Washington University,St. Louis MO,1896,1984,Carl Cori,Czech Republic,Prague,USA,Cambridge MA,USA,M,88
1950,Medicine,for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects,Basel University,Basel,1897,1996,Tadeus Reichstein,Poland,Wloclawek,Switzerland,Basel,Switzerland,M,99
1958,Medicine,for their discovery that genes act by regulating definite chemical events,California Institute of Technology (Caltech),Pasadena CA,1903,1989,George Beadle,USA,Wahoo NE,USA,Pomona CA,USA,M,86
1911,Chemistry,in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element,Sorbonne University,Paris,1867,1934,Marie Curie,Poland,Warsaw,France,Sallanches,France,F,67
1906,Physics,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,University of Cambridge,Cambridge,1856,1940,J.J. Thomson,United Kingdom,Cheetham Hill,United Kingdom,Cambridge,United Kingdom,M,84
1928,Physics,for his work on the thermionic phenomenon and especially for the discovery of the law named after him,London University,London,1879,1959,Owen Willans Richardson,United Kingdom,Dewsbury,United Kingdom,Alton,United Kingdom,M,80
2001,Physics,for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates,University of Colorado JILA,Boulder CO,1961,,Eric Cornell,USA,Palo Alto CA,,,USA,M,
2004,Physics,for the discovery of asymptotic freedom in the theory of the strong interaction,California Institute of Technology (Caltech),Pasadena CA,1949,,H. David Politzer,USA,New York NY,,,USA,M,
2007,Chemistry,for his studies of chemical processes on solid surfaces,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,1936,,Gerhard Ertl,Germany,Bad Cannstatt,,,Germany,M,
2007,Literature,that epicist of the female experience who with scepticism fire and visionary power has subjected a divided civilisation to scrutiny,,,1919,2013,Doris Lessing,Iran,Kermanshah,United Kingdom,London,,F,94
1908,Peace,for their long time work for the cause of peace as politicians peace society leaders orators and authors,,,1837,1922,Fredrik Bajer,Denmark,Nëstved,Denmark,Copenhagen,,M,85
